assetNames,longitude,latitude,imageNames
Parking lot 7,73.0049496892297,19.15211247589279,
Recreation centre,73.00352277623703,19.15219635606842,
Canteen,73.00352277623703,19.15219635606842,
Indoor heated swimming pool,73.00352277680219,19.15234342008333,
